,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
597,5697,1995 - 1st Annual,FEMALE TV MOVIE OR MINISERIES,CICELY TYSON,THE OLDEST LIVING CONFEDERATE ...,FALSE,TRUE,Black
598,1422,2015 - 21st Annual,LIFE ACHIEVEMENT,DEBBIE REYNOLDS,,TRUE,TRUE,White
599,1424,2015 - 21st Annual,MALE ACTOR IN A COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,FALSE,TRUE,White
600,1981,2013 - 19th Annual,MALE COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,FALSE,TRUE,White
601,2250,2012 - 18th Annual,MALE COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,FALSE,TRUE,White
602,1428,2015 - 21st Annual,MALE ACTOR IN A DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,FALSE,TRUE,White
603,1715,2014 - 20th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,FALSE,TRUE,White
604,1984,2013 - 19th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,FALSE,TRUE,White
605,2254,2012 - 18th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,TRUE,TRUE,White
606,2480,2011 - 17th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,TRUE,TRUE,White
607,1431,2015 - 21st Annual,MALE ACTOR IN A DRAMA SERIES,MATTHEW MCCONAUGHEY,TRUE DETECTIVE,FALSE,TRUE,White
608,1433,2015 - 21st Annual,MALE ACTOR IN A LEADING ROLE,MICHAEL KEATON,BIRDMAN,FALSE,TRUE,White
609,3250,2008 - 14th Annual,MALE TV MOVIE OR MINISERIES,MICHAEL KEATON,THE COMPANY,FALSE,TRUE,White
610,1435,2015 - 21st Annual,MALE ACTOR IN A LEADING ROLE,JAKE GYLLENHAAL,NIGHTCRAWLER,FALSE,TRUE,White
611,3732,2006 - 12th Annual,MALE SUPPORTING ROLE,JAKE GYLLENHAAL,BROKEBACK MOUNTAIN,FALSE,TRUE,White
612,1438,2015 - 21st Annual,MALE ACTOR IN A SUPPORTING ROLE,EDWARD NORTON,BIRDMAN,FALSE,TRUE,White
613,1439,2015 - 21st Annual,MALE ACTOR IN A SUPPORTING ROLE,ETHAN HAWKE,BOYHOOD,FALSE,TRUE,White
614,4487,2002 - 8th Annual,MALE SUPPORTING ROLE,ETHAN HAWKE,TRAINING DAY,FALSE,TRUE,White
615,1440,2015 - 21st Annual,MALE ACTOR IN A SUPPORTING ROLE,MARK RUFFALO,FOXCATCHER,FALSE,TRUE,White
616,1447,2015 - 21st Annual,MALE ACTOR IN A TELEVISION MOVIE OR MINISERIES,MARK RUFFALO,THE NORMAL HEART,TRUE,TRUE,White
617,2491,2011 - 17th Annual,MALE SUPPORTING ROLE,MARK RUFFALO,THE KIDS ARE ALL RIGHT,FALSE,TRUE,White
618,1441,2015 - 21st Annual,MALE ACTOR IN A SUPPORTING ROLE,ROBERT DUVALL,THE JUDGE ,FALSE,TRUE,White
619,2486,2011 - 17th Annual,MALE LEAD ROLE,ROBERT DUVALL,GET LOW,FALSE,TRUE,White
620,3507,2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,ROBERT DUVALL,BROKEN TRAIL,FALSE,TRUE,White
621,5046,1999 - 5th Annual,MALE SUPPORTING ROLE,ROBERT DUVALL,A CIVIL ACTION,TRUE,TRUE,White
622,5226,1998 - 4th Annual,MALE LEAD ROLE,ROBERT DUVALL,THE APOSTLE,FALSE,TRUE,White
