id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
185,1966,1967,39,ACTOR IN A LEADING ROLE,Steve McQueen,The Sand Pebbles,FALSE,black,black
186,1966,1967,39,ACTOR IN A LEADING ROLE,Paul Scofield,A Man for All Seasons,TRUE,white,white
187,1967,1968,40,ACTOR IN A LEADING ROLE,Warren Beatty,Bonnie and Clyde,FALSE,white,white
188,1967,1968,40,ACTOR IN A LEADING ROLE,Dustin Hoffman,The Graduate,FALSE,white,white
189,1967,1968,40,ACTOR IN A LEADING ROLE,Paul Newman,Cool Hand Luke,FALSE,white,white
190,1967,1968,40,ACTOR IN A LEADING ROLE,Rod Steiger,In the Heat of the Night,TRUE,white,white
191,1967,1968,40,ACTOR IN A LEADING ROLE,Spencer Tracy,Guess Who's Coming to Dinner,FALSE,white,white
192,1968,1969,41,ACTOR IN A LEADING ROLE,Alan Arkin,The Heart Is a Lonely Hunter,FALSE,white,white
193,1968,1969,41,ACTOR IN A LEADING ROLE,Alan Bates,The Fixer,FALSE,white,white
194,1968,1969,41,ACTOR IN A LEADING ROLE,Ron Moody,Oliver!,FALSE,white,white
195,1968,1969,41,ACTOR IN A LEADING ROLE,Peter O'Toole,The Lion in Winter,FALSE,white,white
196,1968,1969,41,ACTOR IN A LEADING ROLE,Cliff Robertson,Charly,TRUE,white,white
197,1969,1970,42,ACTOR IN A LEADING ROLE,Richard Burton,Anne of the Thousand Days,FALSE,white,white
198,1969,1970,42,ACTOR IN A LEADING ROLE,Dustin Hoffman,Midnight Cowboy,FALSE,white,white
199,1969,1970,42,ACTOR IN A LEADING ROLE,Peter O'Toole,"Goodbye, Mr. Chips",FALSE,white,white
200,1969,1970,42,ACTOR IN A LEADING ROLE,Jon Voight,Midnight Cowboy,FALSE,white,white
201,1969,1970,42,ACTOR IN A LEADING ROLE,John Wayne,True Grit,TRUE,white,white
202,1970,1971,43,ACTOR IN A LEADING ROLE,Melvyn Douglas,I Never Sang for My Father,FALSE,white,white
203,1970,1971,43,ACTOR IN A LEADING ROLE,James Earl Jones,The Great White Hope,FALSE,black,black
204,1970,1971,43,ACTOR IN A LEADING ROLE,Jack Nicholson,Five Easy Pieces,FALSE,white,white
205,1970,1971,43,ACTOR IN A LEADING ROLE,Ryan O'Neal,Love Story,FALSE,white,white
206,1970,1971,43,ACTOR IN A LEADING ROLE,George C. Scott,Patton,TRUE,white,white
207,1971,1972,44,ACTOR IN A LEADING ROLE,Peter Finch,Sunday Bloody Sunday,FALSE,white,white
208,1971,1972,44,ACTOR IN A LEADING ROLE,Gene Hackman,The French Connection,TRUE,white,white
209,1971,1972,44,ACTOR IN A LEADING ROLE,Walter Matthau,Kotch,FALSE,white,white
210,1971,1972,44,ACTOR IN A LEADING ROLE,George C. Scott,The Hospital,FALSE,white,white
211,1971,1972,44,ACTOR IN A LEADING ROLE,Topol,Fiddler on the Roof,FALSE,white,white
212,1972,1973,45,ACTOR IN A LEADING ROLE,Marlon Brando,The Godfather,TRUE,white,white
213,1972,1973,45,ACTOR IN A LEADING ROLE,Michael Caine,Sleuth,FALSE,white,white
214,1972,1973,45,ACTOR IN A LEADING ROLE,Laurence Olivier,Sleuth,FALSE,white,white
215,1972,1973,45,ACTOR IN A LEADING ROLE,Peter O'Toole,The Ruling Class,FALSE,white,white
216,1972,1973,45,ACTOR IN A LEADING ROLE,Paul Winfield,Sounder,FALSE,black,black
217,1973,1974,46,ACTOR IN A LEADING ROLE,Marlon Brando,Last Tango in Paris,FALSE,white,white
218,1973,1974,46,ACTOR IN A LEADING ROLE,Jack Lemmon,Save the Tiger,TRUE,white,white
219,1973,1974,46,ACTOR IN A LEADING ROLE,Jack Nicholson,The Last Detail,FALSE,white,white
220,1973,1974,46,ACTOR IN A LEADING ROLE,Al Pacino,Serpico,FALSE,white,white
221,1973,1974,46,ACTOR IN A LEADING ROLE,Robert Redford,The Sting,FALSE,white,white
222,1974,1975,47,ACTOR IN A LEADING ROLE,Art Carney,Harry and Tonto,TRUE,white,white
