,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
2111,3143,1981,1982,39,Best Performance by an Actress In A Television Series - Drama,Stefanie Powers,Hart To Hart,False,True,White
2112,3275,1982,1983,40,Best Performance by an Actress In A Television Series - Drama,Stefanie Powers,Hart To Hart,False,True,White
2113,3415,1983,1984,41,Best Performance by an Actress In A Television Series - Drama,Stefanie Powers,Hart To Hart,False,True,White
2114,2882,1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Erik Estrada,CHiPs,False,True,Hispanic
2115,2886,1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Robert Urich,Vega$,False,True,White
2116,3014,1980,1981,38,Best Performance by an Actor In A Television Series - Drama,Robert Urich,Vega$,False,True,White
2117,2891,1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Donna Pescow,Angie,False,True,White
2118,2895,1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,Wilfred Hyde-White,"Associates, The",False,True,White
2119,2899,1979,1980,37,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Loni Anderson,WKRP In Cincinnati,False,True,White
2120,3016,1980,1981,38,Best Performance by an Actress in a Television Series - Musical or Comedy,Loni Anderson,WKRP In Cincinnati,False,True,White
2121,3150,1981,1982,39,Best Performance by an Actress in a Television Series - Musical or Comedy,Loni Anderson,WKRP In Cincinnati,False,True,White
2122,2901,1979,1980,37,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Beth Howland,Alice,False,True,White
2123,3028,1980,1981,38,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Beth Howland,Alice,False,True,White
2124,3163,1981,1982,39,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Beth Howland,Alice,False,True,White
2125,3298,1982,1983,40,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Beth Howland,Alice,False,True,White
2126,2903,1979,1980,37,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Vic Tayback,Alice,True,True,White
2127,3031,1980,1981,38,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Vic Tayback,Alice,True,True,White
2128,3167,1981,1982,39,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Vic Tayback,Alice,False,True,White
2129,2906,1979,1980,37,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Tony Danza,Taxi,False,True,White
2130,3809,1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Danza,Who's the Boss?,False,True,White
2131,4067,1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Danza,Who's the Boss?,False,True,White
2132,2907,1979,1980,37,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,David Doyle,Charlie's Angels,False,True,White
2133,2910,1979,1980,37,New Star Of The Year - Actress,Susan Anton,Goldengirl,False,True,White
2134,2911,1979,1980,37,New Star Of The Year - Actress,Bo Derek,10,False,True,White
2135,2913,1979,1980,37,New Star Of The Year - Actress,Lynn-Holly Johnson,Ice Castles,False,True,White
2136,2915,1979,1980,37,New Star Of The Year - Actor,Ricky/Rick Schroder,"Champ, The",True,True,White
2137,4296,1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ricky/Rick Schroder,"Stranger Within, The",False,True,White
2138,2916,1979,1980,37,New Star Of The Year - Actor,Dennis Christopher,Breaking Away,False,True,White
2139,2918,1979,1980,37,New Star Of The Year - Actor,Dean-Paul Martin,Players,False,True,White
2140,2938,1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Nastassja Kinski,Tess,False,True,White
2141,3036,1980,1981,38,New Star Of The Year - Actress,Nastassja Kinski,Tess,True,True,White
2142,2939,1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Deborah Raffin,Touched by Love,False,True,White
2143,2946,1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Coal Miner's Daughter,True,True,White
2144,3064,1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Raggedy Man,False,True,White
2145,3195,1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Missing,False,True,White
2146,3458,1984,1985,42,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,"River, The (1984)",False,True,White
2147,3719,1986,1987,44,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Crimes of the Heart,True,True,White
2148,5601,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,In the Bedroom,True,True,White
2149,6434,2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sissy Spacek,Pictures of Hollis Woods,False,True,White
2150,2947,1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Irene Cara,Fame,False,True,Black
2151,2950,1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Dolly Parton,Nine to Five (1980),False,True,White
2152,3037,1980,1981,38,New Star Of The Year - Actress,Dolly Parton,Nine to Five (1980),False,True,White
2153,3205,1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Dolly Parton,"Best Little Whorehouse In Texas, The",False,True,White
2154,2951,1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ray Sharkey,"Idolmaker, The",True,True,White
2155,3136,1981,1982,39,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ray Sharkey,"Ordeal of Bill Carney, The",False,True,White
2156,2953,1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Neil Diamond,"Jazz Singer, The",False,True,White
2157,2954,1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tommy Lee Jones,Coal Miner's Daughter,False,True,White
2158,4203,1989,1990,47,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Tommy Lee Jones,Lonesome Dove,False,True,White
2159,4619,1993,1994,51,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tommy Lee Jones,"Fugitive, The",True,True,White
2160,7020,2012,2013,70,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tommy Lee Jones,Lincoln,False,True,White
