,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
957,4655,2001 - 7th Annual,FEMALE TV MOVIE OR MINISERIES,VANESSA REDGRAVE,IF THESE WALLS COULD TALK 2,True,True,White
958,3223,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,DEBRA MESSING,THE STARTER WIFE,False,True,White
959,4053,2004 - 10th Annual,FEMALE COMEDY SERIES,DEBRA MESSING,WILL & GRACE,False,True,White
960,4635,2001 - 7th Annual,FEMALE COMEDY SERIES,DEBRA MESSING,WILL & GRACE,False,True,White
961,3224,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,GENA ROWLANDS,WHAT IF GOD WERE THE SUN,False,True,White
962,5372,1997 - 3rd Annual,FEMALE LEAD ROLE,GENA ROWLANDS,UNHOOK THE STARS,False,True,White
963,3225,2008 - 14th Annual,LIFE ACHIEVEMENT,CHARLES DURNING,,True,True,White
964,3228,2008 - 14th Annual,MALE COMEDY SERIES,RICKY GERVAIS,EXTRAS,False,True,White
965,3237,2008 - 14th Annual,MALE LEAD ROLE,EMILE HIRSCH,INTO THE WILD,False,True,White
966,3241,2008 - 14th Annual,MALE SUPPORTING ROLE,HAL HOLBROOK,INTO THE WILD,False,True,White
967,3247,2008 - 14th Annual,MALE TV MOVIE OR MINISERIES,SAM SHEPARD,RUFFIAN,False,True,White
968,3248,2008 - 14th Annual,MALE TV MOVIE OR MINISERIES,JOHN TURTURRO,THE BRONX IS BURNING,False,True,White
969,4297,2003 - 9th Annual,MALE TV MOVIE OR MINISERIES,JOHN TURTURRO,MONDAY NIGHT MAYHEM,False,True,White
970,5718,1995 - 1st Annual,MALE SUPPORTING ROLE,JOHN TURTURRO,QUIZ SHOW,False,True,White
971,3249,2008 - 14th Annual,MALE TV MOVIE OR MINISERIES,OLIVER PLATT,THE BRONX IS BURNING,False,True,White
972,3461,2007 - 13th Annual,FEMALE COMEDY SERIES,JAIME PRESSLY,MY NAME IS EARL,False,True,White
973,3465,2007 - 13th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,False,True,White
974,3695,2006 - 12th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,False,True,White
975,3886,2005 - 11th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,False,True,White
976,4054,2004 - 10th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,True,True,White
977,4252,2003 - 9th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,True,True,White
978,4445,2002 - 8th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,True,True,White
